Zeit;Kanal A
(ms);(mV)

-20,33874917;3,54330683
-20,33374917;4,84867096
-20,32874917;3,72969961
-20,32374917;3,54330683
-20,31874917;4,28949261
-20,31374917;4,66227818
-20,30874917;4,47588587
-20,30374917;4,10248518
-20,29874917;4,66227818
-20,29374917;3,35691428
-20,28874917;5,03506374
-20,28374917;4,84867096
-20,27874917;5,78124952
-20,27374917;4,28949261
-20,26874917;3,91609240
-20,26374917;3,91609240
-20,25874917;3,72969961
-20,25374917;3,35691428
-20,24874917;3,17052150
-20,24374917;2,98351359
-20,23874917;2,42433548
-20,23374917;2,23794293
-20,22874917;1,86454225
-20,22374917;2,23794293
-20,21874917;1,86454225
-20,21374917;1,86454225
-20,20874917;2,05093503
-20,20374917;2,05093503
-20,19874917;2,05093503
-20,19374917;2,42433548
-20,18874917;2,42433548
-20,18374917;2,79712105
-20,17874917;1,49175680
-20,17374917;2,05093503
-20,16874917;1,67814958
-20,16374917;1,11897147
-20,15874917;1,11897147
-20,15374917;0,93196356
-20,14874917;1,11897147
-20,14374917;0,55917817
-20,13874917;0,55917817
-20,13374917;0,37278542
-20,12874917;0,55917817
-20,12374918;0,37278542
-20,11874918;0,55917817
-20,11374918;0,55917817
-20,10874918;0,18639271
-20,10374918;0,74557084
-20,09874918;1,11897147
-20,09374918;0,37278542
-20,08874918;0,93196356
-20,08374918;1,30536413
-20,07874918;0,37278542
-20,07374918;0,93196356
-20,06874918;0,55917817
-20,06374918;0,74557084
-20,05874918;0,74557084
-20,05374918;1,11897147
-20,04874918;2,23794293
-20,04374918;1,30536413
-20,03874918;0,55917817
-20,03374918;0,93196356
-20,02874918;1,11897147
-20,02374918;1,11897147
-20,01874918;1,86454225
-20,01374918;2,05093503
-20,00874918;1,67814958
-20,00374918;2,42433548
-19,99874918;2,05093503
-19,99374918;1,86454225
-19,98874918;2,23794293
-19,98374918;2,23794293
-19,97874918;2,23794293
-19,97374918;2,61072826
-19,96874918;2,05093503
-19,96374918;2,42433548
-19,95874918;1,86454225
-19,95374918;1,86454225
-19,94874918;1,30536413
-19,94374918;1,11897147
-19,93874918;1,49175680
-19,93374918;1,11897147
-19,92874918;1,11897147
-19,92374918;1,49175680
-19,91874918;0,93196356
-19,91374918;1,67814958
-19,90874918;0,37278542
-19,90374918;1,49175680
-19,89874918;0,93196356
-19,89374918;0,74557084
-19,88874918;0,74557084
-19,88374918;1,11897147
-19,87874918;2,05093503
-19,87374918;1,11897147
-19,86874918;1,49175680
-19,86374918;0,74557084
-19,85874918;0,55917817
-19,85374918;0,74557084
-19,84874918;0,55917817
-19,84374918;0,55917817
-19,83874918;0,18639271
-19,83374918;0,18639271
