Zeit;Kanal A;Kanal B
(ms);(V);(V)

1,19910511;1,03395665;1,17064464
1,19930511;1,03395665;1,17064464
1,19950511;1,03395665;1,17064464
1,19970511;1,03395665;1,17064464
1,19990511;1,03395665;1,17064464
1,20010511;1,03395665;1,17064464
1,20030511;1,03395665;1,17064464
1,20050511;1,03395665;1,17064464
1,20070511;1,03395665;1,17064464
1,20090511;1,03395665;1,18811512
1,20110511;1,03395665;1,17064464
1,20130511;1,03395665;1,17064464
1,20150511;1,03395665;1,18811512
1,20170511;1,03395665;1,17064464
1,20190511;1,03395665;1,17064464
1,20210511;1,03395665;1,17064464
1,20230511;1,03395665;1,17064464
1,20250511;1,03395665;1,18811512
1,20270511;1,03395665;1,17064464
1,20290511;1,03395665;1,17064464
1,20310511;1,03395665;1,18811512
1,20330511;1,03395665;1,18811512
1,20350511;1,03395665;1,18811512
1,20370511;1,03395665;1,18811512
1,20390511;1,03395665;1,18811512
1,20410511;1,03395665;1,18811512
1,20430511;1,03395665;1,18811512
1,20450511;1,03395665;1,18811512
1,20470511;1,03395665;1,18811512
1,20490511;1,03395665;1,18811512
1,20510511;1,03395665;1,18811512
1,20530511;1,03395665;1,18811512
1,20550511;1,03395665;1,18811512
1,20570511;1,03395665;1,18811512
1,20590511;1,03395665;1,18811512
1,20610511;1,03395665;1,18811512
1,20630511;1,03395665;1,18811512
1,20650511;1,03395665;1,18811512
1,20670511;1,03395665;1,18811512
1,20690511;1,03395665;1,18811512
1,20710511;1,03395665;1,18811512
1,20730511;1,03395665;1,18811512
1,20750511;1,03395665;1,20558560
1,20770511;1,03395665;1,18811512
1,20790511;1,03395665;1,20558560
1,20810511;1,03395665;1,20558560
1,20830511;1,03395665;1,20558560
1,20850511;1,03395665;1,20558560
1,20870511;1,03395665;1,20558560
1,20890511;1,03395665;1,20558560
1,20910511;1,03395665;1,20558560
1,20930511;1,03395665;1,20558560
1,20950511;1,03395665;1,20558560
1,20970511;1,03395665;1,20558560
1,20990511;1,03395665;1,20558560
1,21010511;1,03395665;1,20558560
1,21030511;1,03395665;1,20558560
1,21050511;1,03395665;1,20558560
1,21070511;1,03395665;1,20558560
1,21090511;1,03395665;1,20558560
1,21110511;1,03395665;1,20558560
1,21130511;1,03395665;1,20558560
1,21150511;1,03395665;1,20558560
1,21170511;1,03395665;1,20558560
1,21190511;1,03395665;1,20558560
1,21210511;1,03395665;1,22305608
1,21230511;1,03395665;1,20558560
1,21250511;1,03395665;1,20558560
1,21270511;1,03395665;1,20558560
1,21290511;1,03395665;1,20558560
1,21310511;1,03395665;1,20558560
1,21330511;1,03395665;1,20558560
1,21350511;1,03395665;1,22305608
1,21370511;1,03395665;1,20558560
1,21390511;1,03395665;1,20558560
1,21410511;1,03395665;1,20558560
1,21430511;1,03395665;1,20558560
1,21450511;1,03395665;1,20558560
1,21470511;1,03395665;1,18811512
1,21490511;1,03395665;1,20558560
1,21510511;1,03395665;1,22305608
1,21530511;1,03395665;1,22305608
1,21550511;1,03395665;1,22305608
1,21570511;1,03395665;1,22305608
1,21590510;1,03395665;1,22305608
1,21610510;1,03395665;1,22305608
1,21630510;1,03395665;1,20558560
1,21650510;1,03395665;1,22305608
1,21670510;1,03395665;1,22305608
1,21690510;1,03395665;1,22305608
1,21710510;1,03395665;1,22305608
1,21730510;1,03395665;1,22305608
1,21750510;1,03395665;1,22305608
1,21770510;1,03395665;1,22305608
1,21790510;1,03395665;1,22305608
1,21810510;1,03395665;1,22305608
1,21830510;1,03395665;1,22305608
1,21850510;1,03395665;1,22305608
1,21870510;1,03395665;1,22305608
1,21890510;1,03395665;1,22305608
1,21910510;1,03395665;1,22305608
1,21930510;1,03395665;1,22305608
1,21950510;1,03395665;1,22305608
1,21970510;1,03395665;1,22305608
1,21990510;1,03395665;1,22305608
1,22010510;1,03395665;1,22305608
1,22030510;1,03395665;1,22305608
1,22050510;1,03395665;1,22305608
1,22070510;1,03395665;1,22305608
1,22090510;1,03395665;1,22305608
1,22110510;1,03395665;1,22305608
1,22130510;1,03395665;1,22305608
1,22150510;1,03395665;1,22305608
1,22170510;1,03395665;1,22305608
1,22190510;1,03395665;1,22305608
1,22210510;1,03395665;1,22305608
1,22230510;1,03395665;1,22305608
1,22250510;1,03395665;1,22305608
1,22270510;1,03395665;1,22305608
1,22290510;1,03395665;1,22305608
1,22310510;1,03395665;1,22305608
1,22330510;1,03395665;1,22305608
1,22350510;1,03395665;1,22305608
1,22370510;1,03395665;1,22305608
1,22390510;1,03395665;1,22305608
1,22410510;1,03395665;1,22305608
1,22430510;1,03395665;1,22305608
1,22450510;1,03395665;1,22305608
1,22470510;1,03395665;1,22305608
1,22490510;1,03395665;1,22305608
1,22510510;1,03395665;1,22305608
1,22530510;1,03395665;1,22305608
1,22550510;1,03395665;1,22305608
1,22570510;1,03395665;1,22305608
1,22590510;1,03395665;1,22305608
1,22610510;1,03395665;1,22305608
1,22630510;1,03395665;1,22305608
1,22650510;1,03395665;1,22305608
1,22670510;1,03395665;1,22305608
1,22690510;1,03395665;1,22305608
1,22710510;1,03395665;1,22305608
1,22730510;1,03395665;1,22305608
1,22750510;1,03395665;1,20558560
1,22770510;1,03395665;1,22305608
1,22790510;1,03395665;1,22305608
1,22810510;1,03395665;1,22305608
1,22830510;1,03395665;1,22305608
1,22850510;1,03395665;1,22305608
1,22870510;1,03395665;1,22305608
1,22890510;1,03395665;1,22305608
1,22910510;1,03395665;1,22305608
1,22930510;1,03395665;1,22305608
1,22950510;1,03395665;1,22305608
1,22970510;1,03395665;1,22305608
1,22990510;1,03395665;1,22305608
1,23010510;1,03395665;1,22305608
1,23030510;1,03395665;1,22305608
1,23050510;1,03395665;1,20558560
1,23070510;1,03395665;1,22305608
1,23090510;1,03395665;1,20558560
1,23110510;1,03395665;1,20558560
1,23130510;1,03395665;1,22305608
1,23150510;1,03395665;1,20558560
1,23170510;1,03395665;1,22305608
1,23190510;1,03395665;1,20558560
1,23210510;1,03395665;1,20558560
1,23230510;1,03395665;1,20558560
1,23250510;1,03395665;1,20558560
1,23270510;1,03395665;1,20558560
1,23290510;1,03395665;1,20558560
1,23310510;1,03395665;1,20558560
1,23330510;1,03395665;1,20558560
1,23350510;1,05142713;1,20558560
1,23370510;1,03395665;1,20558560
1,23390510;1,03395665;1,20558560
1,23410510;1,03395665;1,20558560
1,23430510;1,03395665;1,20558560
1,23450510;1,03395665;1,20558560
1,23470510;1,05142713;1,20558560
1,23490510;1,03395665;1,20558560
1,23510510;1,03395665;1,20558560
1,23530510;1,03395665;1,20558560
1,23550510;1,03395665;1,20558560
1,23570510;1,03395665;1,20558560
1,23590510;1,03395665;1,20558560
1,23610510;1,03395665;1,20558560
1,23630510;1,03395665;1,20558560
1,23650510;1,03395665;1,20558560
1,23670510;1,03395665;1,20558560
1,23690510;1,03395665;1,20558560
1,23710510;1,03395665;1,20558560
1,23730510;1,03395665;1,20558560
1,23750510;1,05142713;1,18811512
1,23770510;1,03395665;1,20558560
1,23790510;1,03395665;1,18811512
1,23810510;1,03395665;1,20558560
1,23830510;1,05142713;1,18811512
1,23850510;1,03395665;1,18811512
1,23870510;1,03395665;1,18811512
1,23890510;1,03395665;1,18811512
1,23910510;1,03395665;1,18811512
1,23930510;1,03395665;1,18811512
1,23950510;1,03395665;1,18811512
1,23970510;1,03395665;1,18811512
1,23990510;1,03395665;1,18811512
1,24010510;1,03395665;1,18811512
1,24030510;1,03395665;1,18811512
1,24050510;1,03395665;1,18811512
1,24070510;1,03395665;1,18811512
1,24090510;1,03395665;1,18811512
1,24110510;1,03395665;1,18811512
1,24130510;1,03395665;1,18811512
1,24150510;1,03395665;1,18811512
1,24170510;1,03395665;1,18811512
1,24190510;1,03395665;1,18811512
1,24210510;1,03395665;1,18811512
1,24230510;1,03395665;1,17064464
1,24250510;1,03395665;1,18811512
1,24270510;1,03395665;1,18811512
1,24290510;1,03395665;1,17064464
1,24310510;1,03395665;1,18811512
1,24330510;1,03395665;1,18811512
1,24350510;1,03395665;1,17064464
1,24370510;1,03395665;1,18811512
1,24390510;1,03395665;1,17064464
1,24410510;1,03395665;1,17064464
1,24430510;1,03395665;1,17064464
1,24450510;1,03395665;1,17064464
1,24470510;1,03395665;1,17064464
1,24490510;1,05142713;1,17064464
1,24510510;1,03395665;1,17064464
1,24530510;1,03395665;1,17064464
1,24550510;1,03395665;1,17064464
1,24570510;1,03395665;1,17064464
1,24590510;1,03395665;1,17064464
1,24610510;1,05142713;1,17064464
1,24630510;1,03395665;1,17064464
1,24650510;1,03395665;1,17064464
1,24670510;1,03395665;1,17064464
1,24690510;1,03395665;1,17064464
1,24710510;1,03395665;1,15317416
1,24730510;1,03395665;1,17064464
1,24750510;1,03395665;1,15317416
1,24770510;1,03395665;1,17064464
1,24790510;1,05142713;1,15317416
1,24810510;1,03395665;1,15317416
1,24830510;1,05142713;1,15317416
1,24850510;1,03395665;1,15317416
1,24870510;1,03395665;1,15317416
1,24890510;1,03395665;1,15317416
1,24910510;1,03395665;1,15317416
1,24930510;1,03395665;1,15317416
1,24950510;1,03395665;1,15317416
