time; signal
8.679999999999972460e-05;1.890900570600000385e+00
8.700000000000027156e-05;1.892298208800000214e+00
8.719999999999908380e-05;1.893695847000000043e+00
8.740000000000136549e-05;1.895093485200000094e+00
8.760000000000017772e-05;1.896491123400000145e+00
8.779999999999898996e-05;1.897888761600000196e+00
8.799999999999953693e-05;1.899286399800000247e+00
8.820000000000008389e-05;1.900684038000000076e+00
8.840000000000063085e-05;1.901732266600000276e+00
8.859999999999944309e-05;1.902780495200000255e+00
8.879999999999999005e-05;1.903828723800000233e+00
8.900000000000053701e-05;1.904876952400000212e+00
8.919999999999934925e-05;1.905925181000000190e+00
8.939999999999989622e-05;1.906973409600000169e+00
8.959999999999870846e-05;1.908021638200000147e+00
8.980000000000099014e-05;1.909069866800000126e+00
8.999999999999980238e-05;1.909768685800000032e+00
9.019999999999861462e-05;1.910467504800000160e+00
9.039999999999916158e-05;1.911166323800000288e+00
9.059999999999970854e-05;1.911865142800000195e+00
9.080000000000025551e-05;1.912913371400000173e+00
9.099999999999906775e-05;1.913612190400000301e+00
9.120000000000134943e-05;1.914311009400000207e+00
9.140000000000016167e-05;1.915009828400000114e+00
9.159999999999897391e-05;1.915708647400000242e+00
9.179999999999952087e-05;1.916058057000000314e+00
9.200000000000006783e-05;1.916756876000000220e+00
9.220000000000061480e-05;1.917106285600000071e+00
9.239999999999942704e-05;1.917455695200000143e+00
9.259999999999997400e-05;1.917805104800000215e+00
9.280000000000052096e-05;1.918154514400000288e+00
9.299999999999933320e-05;1.918503924000000360e+00
9.319999999999988016e-05;1.918853333600000211e+00
9.339999999999869240e-05;1.919202743200000061e+00
9.360000000000097409e-05;1.919552152800000133e+00
9.379999999999978633e-05;1.919901562400000206e+00
9.400000000000033329e-05;1.920250972000000278e+00
9.419999999999914553e-05;1.920600381600000350e+00
9.439999999999969249e-05;1.920949791200000201e+00
9.460000000000023945e-05;1.920600381600000128e+00
9.479999999999905169e-05;1.920600381599999906e+00
9.499999999999959865e-05;1.920600381600000128e+00
9.520000000000014562e-05;1.920250972000000056e+00
9.539999999999895786e-05;1.919901562399999984e+00
9.559999999999950482e-05;1.919552152800000133e+00
9.580000000000005178e-05;1.919552152800000133e+00
9.600000000000059874e-05;1.919202743200000061e+00
9.619999999999941098e-05;1.918503924199999933e+00
9.639999999999995794e-05;1.918154514600000082e+00
9.660000000000050491e-05;1.917805105000000232e+00
9.679999999999931715e-05;1.917455695400000160e+00
9.699999999999986411e-05;1.917106285800000087e+00
9.719999999999867635e-05;1.916756876200000015e+00
9.740000000000095803e-05;1.916058057199999887e+00
